Product Name,Review,Review_without_emoji,preprocess_text,preprocess_text1,aspects,price,quality,delivery cost,packaging,usability,design,customer service
"Sunlight Care Detergent Liquid, 1L",I purchased 2 bottles. Both seem partially used because it was not full. One bottle had leaked too. Furthermore the item was sold at Rs. 752/= but the MRP marked on the bottle is Rs. 480/=. This is fraud as per consumer protection,I purchased 2 bottles. Both seem partially used because it was not full. One bottle had leaked too. Furthermore the item was sold at Rs. 752/= but the MRP marked on the bottle is Rs. 480/=. This is fraud as per consumer protection,i purchased 2 bottles both seem partially used because it was not full one bottle had leaked too furthermore the item was sold at rs 752/ but the mrp marked on the bottle is rs 480/ this is fraud as per consumer protection,"['purchased', '2', 'bottles', 'seem', 'partially', 'used', 'full', 'one', 'bottle', 'leaked', 'furthermore', 'item', 'sold', 'rs', '752/', 'mrp', 'marked', 'bottle', 'rs', '480/', 'fraud', 'per', 'consumer', 'protection']","['quality', 'packaging']",0,1,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Very fast & safe delivery . Neet packing. I wish to buy more... Thank you .,Very fast & safe delivery . Neet packing. I wish to buy more... Thank you .,very fast  safe delivery  neet packing i wish to buy more thank you ,"['fast', 'safe', 'delivery', 'neet', 'packing', 'wish', 'buy', 'thank']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!,Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!,fast delivery during this pandemic got the product very next day after ordering safely packed and no leakage great service,"['fast', 'delivery', 'pandemic', 'got', 'product', 'next', 'day', 'ordering', 'safely', 'packed', 'leakage', 'great', 'service']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Alot of liquid has leaked.im very much disappointed.,Alot of liquid has leaked.im very much disappointed.,alot of liquid has leakedim very much disappointed,"['alot', 'liquid', 'leakedim', 'much', 'disappointed']",['packaging'],0,0,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Thank you very much !! I received my package today which was in a very good condition . The delivery process was very fast and smooth as it was promised in your web site . I have complete trust in your organization to get my packages delivered to me in time to come .,Thank you very much !! I received my package today which was in a very good condition . The delivery process was very fast and smooth as it was promised in your web site . I have complete trust in your organization to get my packages delivered to me in time to come .,thank you very much  i received my package today which was in a very good condition  the delivery process was very fast and smooth as it was promised in your web site  i have complete trust in your organization to get my packages delivered to me in time to come ,"['thank', 'much', 'received', 'package', 'today', 'good', 'condition', 'delivery', 'process', 'fast', 'smooth', 'promised', 'web', 'site', 'complete', 'trust', 'organization', 'get', 'packages', 'delivered', 'time', 'come']","['quality', 'delivery cost', 'packaging']",0,1,1,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Fast Delivery Delivered within One Day Well Packed Not Leaked Any Liquid Bottle Seller Recommended,Fast Delivery Delivered within One Day Well Packed Not Leaked Any Liquid Bottle Seller Recommended,fast delivery delivered within one day well packed not leaked any liquid bottle seller recommended,"['fast', 'delivery', 'delivered', 'within', 'one', 'day', 'well', 'packed', 'leaked', 'liquid', 'bottle', 'seller', 'recommended']","['delivery cost', 'packaging', 'customer service']",0,0,1,1,0,0,1
"Sunlight Care Detergent Liquid, 1L",As many have complained here. it was leaking when i got it. reasonable amount has leaked . ,As many have complained here. it was leaking when i got it. reasonable amount has leaked . ,as many have complained here it was leaking when i got it reasonable amount has leaked  ,"['many', 'complained', 'leaking', 'got', 'reasonable', 'amount', 'leaked']","['price', 'packaging']",1,0,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",3/4 filled bottle. had spilled some out of the bottle too,3/4 filled bottle. had spilled some out of the bottle too,3/4 filled bottle had spilled some out of the bottle too,"['3/4', 'filled', 'bottle', 'spilled', 'bottle']",['packaging'],0,0,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Very good but some liquid leaking. Please pack proper way some bottles are up side down ,Very good but some liquid leaking. Please pack proper way some bottles are up side down ,very good but some liquid leaking please pack proper way some bottles are up side down ,"['good', 'liquid', 'leaking', 'please', 'pack', 'proper', 'way', 'bottles', 'side']","['quality', 'packaging']",0,1,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Nice packing....fast delivery....highly recommended😊😊😊,Nice packing....fast delivery....highly recommendedsmiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes,nice packingfast deliveryhighly recommendedsmiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes,"['nice', 'packingfast', 'deliveryhighly', 'recommendedsmiling', 'face', 'smiling', 'eyessmiling', 'face', 'smiling', 'eyessmiling', 'face', 'smiling', 'eyes']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",good product with reasonable price,good product with reasonable price,good product with reasonable price,"['good', 'product', 'reasonable', 'price']","['price', 'quality', 'packaging']",1,1,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Very Bad packing .Most of them were fully a Wasted.liquid Are fully leaked.Please maku sure to careful packing in future.Very Dissatisfied with this I lost from it all,Very Bad packing .Most of them were fully a Wasted.liquid Are fully leaked.Please maku sure to careful packing in future.Very Dissatisfied with this I lost from it all,very bad packing most of them were fully a wastedliquid are fully leakedplease maku sure to careful packing in futurevery dissatisfied with this i lost from it all,"['bad', 'packing', 'fully', 'wastedliquid', 'fully', 'leakedplease', 'maku', 'sure', 'careful', 'packing', 'futurevery', 'dissatisfied', 'lost']",['packaging'],0,0,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L","reasonable price. but pls get precautions to stop the leakage at transport. both 2 parcels have liquid leaks. I saw most of customers are raising same issue. so pls lookin to this. except that, satisfied","reasonable price. but pls get precautions to stop the leakage at transport. both 2 parcels have liquid leaks. I saw most of customers are raising same issue. so pls lookin to this. except that, satisfied",reasonable price but pls get precautions to stop the leakage at transport both 2 parcels have liquid leaks i saw most of customers are raising same issue so pls lookin to this except that satisfied,"['reasonable', 'price', 'pls', 'get', 'precautions', 'stop', 'leakage', 'transport', '2', 'parcels', 'liquid', 'leaks', 'saw', 'customers', 'raising', 'issue', 'pls', 'lookin', 'except', 'satisfied']","['price', 'packaging']",1,0,0,1,0,0,0
"Sunlight Care Detergent Liquid, 1L",Quick delivery...Nicely packed...newly manufactured items from authorized seller..discounted price...highly recommended seller...thank you...,Quick delivery...Nicely packed...newly manufactured items from authorized seller..discounted price...highly recommended seller...thank you...,quick deliverynicely packednewly manufactured items from authorized sellerdiscounted pricehighly recommended sellerthank you,"['quick', 'deliverynicely', 'packednewly', 'manufactured', 'items', 'authorized', 'sellerdiscounted', 'pricehighly', 'recommended', 'sellerthank']","['price', 'delivery cost', 'packaging', 'customer service']",1,0,1,1,0,0,1
"Sunlight Care Detergent Liquid, 1L","Product leak. Daraz wrapping for delivery is very bad, wrapped with a lot of bubble wraps and celotape which has tighten the product. and then on delivery the bottles are placed upside down. the liquid has leaked inside the bubble wrap.","Product leak. Daraz wrapping for delivery is very bad, wrapped with a lot of bubble wraps and celotape which has tighten the product. and then on delivery the bottles are placed upside down. the liquid has leaked inside the bubble wrap.",product leak daraz wrapping for delivery is very bad wrapped with a lot of bubble wraps and celotape which has tighten the product and then on delivery the bottles are placed upside down the liquid has leaked inside the bubble wrap,"['product', 'leak', 'daraz', 'wrapping', 'delivery', 'bad', 'wrapped', 'lot', 'bubble', 'wraps', 'celotape', 'tighten', 'product', 'delivery', 'bottles', 'placed', 'upside', 'liquid', 'leaked', 'inside', 'bubble', 'wrap']","['delivery cost', 'packaging']",0,0,1,1,0,0,0
"Comfort Morning Fresh Fabric Conditioner, 860ml",thank daraz no damages good product 👍,thank daraz no damages good product thumbs up,thank daraz no damages good product thumbs up,"['thank', 'daraz', 'damages', 'good', 'product', 'thumbs']","['quality', 'packaging']",0,1,0,1,0,0,0
